User-ID,Angels &amp; Demons,House of Sand and Fog,The Client,The Girls' Guide to Hunting and Fishing,The Nanny Diaries: A Novel,The Reader,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",White Oleander : A Novel
6251,3.7,6.0,4.2,3.7,5.0,4.4,7.0,8.0
6563,3.7,4.6,9.0,3.4,7.0,4.3,10.0,4.4
6575,4.0,3.7,3.6,8.0,3.7,3.0,6.0,4.0
7125,4.0,7.0,3.0,6.0,3.1,2.7,3.2,3.5
8454,4.0,3.7,3.1,7.0,3.7,3.2,3.5,6.0
8801,10.0,3.9,3.5,6.0,3.1,2.8,3.4,3.6
11224,7.0,7.0,7.0,6.0,3.2,2.6,3.5,3.3
11676,8.0,7.0,7.5,5.0,7.5,8.5,9.0,9.5
16795,3.4,9.0,5.0,3.3,9.0,5.0,4.4,8.5
17950,3.5,4.1,5.0,3.2,4.4,3.5,8.0,3.8
21014,3.4,3.9,3.2,8.0,7.0,4.0,3.7,8.0
28177,3.6,10.0,4.5,3.4,8.0,6.0,9.0,4.8
